一		いち	one	亜唖姶悪或夷椅畏異遺井郁芋右窺丑云雲盈益榎延汚央岡下可夏寡河珂苛荷華嘩画開碍垣劃隔岳橿且樺釜栢萱瓦寒干桓漢環看緩還基奇寄希棄稀貴騎儀宜犠義蟻誼議丘朽求虚供彊興尭業極桐倶具勲君薫群郡恵慧兼券喧圏拳捲遣乎五互伍吾悟梧碁語乞光后宏巧恒晃更梗構洪溝硬紘綱肱講購号合佐左査再最塞妻才犀在材財肴崎埼碕柵冊三参惨珊蚕伺使司嗣屍師施死至詞事慈滋爾璽磁雫写遮若惹寿重春症称証象鉦上丈丞乗剰擾杖畳蒸慎晋榛真秦甚笥垂睡衰錘随髄世征政整正惜昔籍宣煎箭前岨措狙疎祖租粗組阻喪奏爽曹槽漕争糟葬送遭像束速袖其揃存唾堕惰楕体帯戴泰宅托託諾但巽丹嘆坦担旦歎湛胆壇断暖檀値窒昼苧貯丁庁暢町腸頂勅直朕鎮陳槻椿壷汀訂釘鼎迭典天展殿澱砺凍唐塘東棟湯灯董蕩藤謄働動同洞胴銅峠得凸乍弐廿禰寧年念捻乃嚢濃膿農覗廃拝杯盃曝爆函鉢髪挽否畢逼紐百評病蛭浜不布怖普譜撫舞蕪副幅福淵糞丙併兵塀柄並閉偏篇編遍便鞭俸奉峰峯捧縫蓬蜂豊鋒暴棒奔本鮪柾抹末万満湊蓑無命免餅矢鑓佑優友宥憂有祐郵雄予余与誉預揚楊陽翼欄蘭吏侶了両糧量倫輪令伶冷怜玲苓鈴零霊麗煉錬婁蝋論歪賄亙亘弌丐丕亊亞亳亶侑來倚僵兀兩册冉冓冱剞剪匐卅卍厦叮咀哄哥唏唔喘嗄嘸嚥囂囿圜坏堊堙墟壙壤壺壼壽竒妍娉婀媾嫣孃孳孺實寰專尹妛峺崋嵜崙崘巵帶廈廡廳弖彁彌徑忸恠怎恆恫惡惠慯慝憙懣戛戞扁拔抔拱拵掎搴搆舉攀數昊昜晉晞晝晤暄暘曁曄曩朞朮朿杤柯桎栫梺椏棊棗椪椣棆寨樓橢櫃檸欷欹歟殤沍浤涵淆淒淪湲湎滿滯澑濔瀑瀰炳烝焉煖爰牾犲狃猗獸璢瑾瓸甦甼畫畸疆畴疔疸痞痾瘍瘻盻眄瞞瞶矗祠祗祓禪禮禳秉秡秣稱穰窘窶竡篝簑簔篳簍篶簣籥粤粡鬻絨綺綸緻縣縉縷繖罔罘翦翩聘胚隋腆膸與艚苒苴莓茉荐莖茣萓菫蒹蓆蓴蔗蔕蕘薑藪藉乕號虱蚩蚌蛬蝨蝙螻蠹衄裲褄褊襄褸覯訶諞謌謇諡譁譴讌讓豺賚賽跚跋蹇蹠蹣蹕軆輊輌輳辷邇逕遘隨酊醋醢醴釀鈕錏鎭鏤鑰閂閧陏陲霰饉饋騁騙騫髏髓髯鬟鯑鵲鷓堯槇
｜		ぼう	stick	亜唖逢悪以伊井稲印引鵜丑渦焔艶押横沖下果華嘩柿角樺鴨患諌陥貴糾旧供叫業曲巾串屈掘窟勲薫慧継兼嫌研謙遣碁候洪甲耕購坤詐坐座挫再妻済犀斎剤在榊崎埼碕作咋搾昨柵窄策錯冊撒散珊刺嗣師獅児爾璽軸雫湿篠朱殊珠種腫収州修洲繍酬重粛出衝鍾乗剰伸申神紳酢垂帥睡錘菅世瀬整斉惜昔籍拙撰選岨措狙疎祖租粗組阻喪奏捜挿曹槽漕糟遭束速袖存唾帯戴泰凧巽湛断段値中仲宙忠抽弔暢勅直陳槌追鎚壷紬剃弟悌梯逓鼎笛迭典展殿澱兎菟凍唐塘東棟湯董蕩藤謄働動峠橡凸届乍廿禰念捻乃嚢濃膿農拝杯矧曝爆伴判半畔挽費眉畢紐評不埠普譜撫舞蕪淵弗沸糞併塀弊並蔽瞥偏篇編遍便俸奉峰峯捧縫蓬蜂豊鋒暴棒堀妹昧抹末沫万満味未魅岬無免耗餅也鑓油幽悠柚由郵翼来莱頼欄蘭侶両倫輪霊廉煉簾練錬婁蝋論歪丕个丱丼豫佛來俤倔倆假儂兩冉冓冲剏剌剩勳匣卅丗卍吽呷呻咄哄喘喇嗽嘸嘯坏垪堙墟壙壤妍娉媚媾嫂嫩嬋嬾孃孺屏岫岼崋崛崙崘嵋廡廸彈彌彿徠忸怎怫恆悚惠慊慟憖憚懣懶戰扁抔抻拌拂拱搜捶揀搴搆舉收攸敕敝數斷曄曩朏朮朿柞柮棘棗椪椣棆寨樓飮歉洙涕渊淒淪溂溏澑濂濔瀑瀟瀰瀾炸烽熏燻燼爛狃狆狎狒璢瑕瑾畍畊疥痞瘻眛睇睫瞞瞶矗祟祚禪禮禳秉秣稱穰穽窶竦笨笄筰筱篝篳簍簣簫籟籥糶絆絣綸綰緞縣縋縷繖繼罘翩耘耙耜耡耨聘胛胙胄胚胖脯腆胼舳艚苡苒茉茱菫萋葭葮蒹蕀蕭薛藪藉藕藾乕蚓蚌蚰蛬蛛蝙螻蠹衄袢裲褄褊襄褸覯誅誄諫諞謇譁譴讓賽賺贐赧赳跚踈踵蹇蹕躰軆輛輌輾辣迚迪邇迸遐遘鄲醋醴醺釀釉釐鈕鉞銖錏鍜鎭鏤鑰閘閧闌陲霰靺鞣顆餠饉饋饌駲騁駢騙騫驥驤髏體髯髴髷鬨魎鮓鰕鰊鰥鰤鰰鱧鵲鶇鶫黜鼬槇
丶		てん	dot	以浦永泳詠往欧殴鴎蒲釜鎌寒丸機気稀偽及救求球兇凶恐挟狭胸玉禽区躯駆犬国叉肴殺桟残似雫執勺尺杓灼酌釈主就州洲蹴酬住塾熟術述丈刃尽靭勢斥浅賎践銭訴双太汰駄丹築筑昼柱注註駐掴釣的兎菟冬忍認葱熱之博薄縛帆汎泌秘柊氷豹不敷舗鋪圃捕甫補輔簿宝乏凡密蜜尤籾匁約訳猷卵吏梁歪鷲亙丕丼仞仭偬傅兔冤劔劒剱匆匍厖咏哺囈坏埔妁孰孵寃尨巉怱怺愡愽戍扠扨拔抔拆掖搏摯昶朮柝梵榑樒櫁樣毬泝溥漾澀瀛炙犹瑟疣疼痞祕祓秡笂筺簗綛网罘羸肬胚脉脯膊舖芍苳荵葯葢藝蛩螽蟄衂裘褻謐譏賻贄跋跫逑逋釼釵靫鞏餔饑駲騷魃鯆鷙麈黻黼遙瑤
丿		の	kana no	葵夷威為井郁磯逸淫隠右鵜丑映洩瑛盈英援央欧殴鴎卸禾括活釜鎌勧感憾看希幾機気稀杵久吸汲笈級許僑兇凶喬橋矯胸蕎禽区躯駆勲君薫係刑型形携系荊懸研乎呼午御乞后垢宏更梗浩硬紘肱告酷鵠佐嵯左差沙瑳砂詐裟才歳済犀砕斎際剤在材財肴作咋搾昨窄察擦殺薩桟産残使史施七執失悉紗若惹朱殊珠寿繍蹴重粛春傷升少承抄昇渉省称丈丞乗剰城杖蒸飾榛秦壬訊酢垂睡錘随髄雀制成盛誠斉戚先千栴浅洗賎践銭銑倉奏挿蒼鎗臓蔵造属存孫遜唾堕惰楕泰宅托託諾丹嘆誕暖秩着鋳捗椿剃弟悌梯迭鉄添兎梼涛祷透匿屯呑乍迩任妊祢年乃杯盃否泌秘弼必媛秒瀕賓頻不布怖撫舞蕪楓風弗沸併塀閉蔑便鞭歩戊俸奉捧邦乏棒奔枕鮪亦万密蜜湊妙無滅茂勿餅匁弥矢佑友宥有猷祐郵雄妖沃卵濫藍覧吏旅臨劣歪賄亙詫丕丱丼乂乖乘亳仍仗仟佚佛侏侘侑俤决凭刋剏辨卅咏咸咤唏哽喊嗟嘸嘯囿坏埀垪埓夭奧妍姙娑婬嬌嬪尓尠尹屏屹峺帙并彿忤忝恠怎怱怫恁愡慯慟慝戍戌拔抔拜拂抛拵捶插摯撼擯攸斫昜晞晧晟暘朶杤杪枡柞栫梏楹槎樒櫁橢檳欷歃殀殤殯毟泛洙浤涎涕渊淆湲渺濱瀟炒炸熈煖煬熏燻爰犂犲狒瑟瓩畍畊畴疚疥痞瘍皓盪蘯眇睇祚祕祓禹秉秡穢穽窘窖竏笏笄笋筵筰筬箴簫粳絨絏絣緜緘緲縅繽缺网罘羞羣胙胚隋胼膓膸臟臧臻舂艾茆茱荐莚莎莠蕭藏蘋乕虱蛛蜒蜑蜴蝨蝪袮裙裼襪觴誅誥謐譌讚豺貶贊贓跌跋跣踵蹙躱軼輳轎轗迸隨醢醺鈔銖鉚銹鍼鑽阡陏陞陟陦陲隲靜靠韈顰飫駛駲駢驕髓髴鬢鮓鯀鯊鯑鯣鰔鰄鹹齲
乙	乚	おつ	fish hook	曳洩奄掩俺乾亀吃乞孔札七蹴宅托託電屯縄乳之巴蝿氾犯範乏枕迄也乱竜礼詫亂亳侘吼咤乢屹扎梍泛淹煢獵糺紮罨菴虱蝨訖貶軋輒閹
亅		はねぼう	feathered stick	阿椅宇迂何可歌河珂苛荷俄峨我蛾餓廓郭奇寄騎儀犠義蟻議研減諺乎呼后垢耕才材財柵策冊珊伺刺司嗣詞飼事序承丞浄蒸笥静争打丹苧貯丁庁町頂亭停汀訂釘塗途灯瀞寧覗閉烹亦野弥予余預了倫豫亊舒于佇倚剞叮吁呵哥哦竒娥婀寐峩嵜崢嶬彁抒掎曦杼柯檸欹淨渮渟濘烝爭犲猗獰甼畸疔痾盂眄礒祠竚箏筝紆紵綺罅羇聹舸艤莪荼蕷蜍訶諍謌豺軻迹酊錚隸雋靜餘鬨鵝鵞
二		に	two	逢葵井蔭院陰迂云雲横会快絵顎巻完監看艦莞鑑関玩頑供侠峡挟狭均芸決訣券圏元袴誇跨五碁洪魂些犀咲皐鯖錆三讃賛竺失朱殊珠寿春勝承情榛秦仁制晴清精請青惜昔脊撰選措奏戴替泰巽樗鍔椿逓鉄展転伝殿澱曇那弐溌発醗伴判半畔桧評夫扶普芙譜舞糞併塀並俸奉捧邦暴棒頬妹昧俣沫満味未魅湊餅靖余翼来莱濫藍覧伶隷霊亙亘鰐丼弍于亞亟佚倩僵儖冀冑冕冦冱刳剏劵匏卷吁吽咢哄囈圈垪堊壙壜壼夬夸佞妍娜媾寇寐屏岼帙并彗惡惓愕惷愃抉拌拱捶揆搴撥舉攘攤晉暄曄桍梛椏椦槿樸檻欖洙浣渕湲滕瀑烽猜畊畉畴癈癪癸皖盂眛眷睛瞎碾磧穽笄篝簀籃籐籘紆紜絆絳絣綣縉縢繧繖繿纉纛纜缺罅罎耘冐胖胯胼膩臻舂艱芫茱荼菫菁萼蕚蒄蓁薑藉藝虧蚌蛬蛛蜍蜷蜻蠢袂袢襤誅諤諠譛豢貳趺跌軼輦輳輾迸鄂醋釐銖錏鎹鐚鑒鑚閧阮陦霰靆靉靜餘饉饌駢驥驤鬨鰆鴃鶚麩麸齶
亠		なべぶた	lid	哀虻依衣亥育影液円劾咳害該骸柿廓核較郭割轄顔棄毅喫亨享京侠峡挟狭禽契景鯨潔憲牽弦玄絃舷諺檎交佼倖効坑幸慌抗杭校稿絞膏航郊高壕濠豪麹刻債裁薩鯖錆鮫産讃賛姉市宍執芝縞就蹴充銃塾熟淳醇商壌嬢情穣譲醸新薪親翠衰嵩畝晴清精請青静積籍績責跡蹟疏素爽卒替鐸壇檀畜蓄嫡鋳漬亭停帝締諦蹄摘敵滴適鏑徹撤轍梼涛祷統毒瀞惇敦灘難之嚢肺抜噺塙蛮彦変報烹褒乏亡傍忘忙妹昧亦抹末沫味未魅蓑椋冥妄盲夜靖擁来莱璃裏離率掠流琉硫亮涼諒恋六鷲藁湾亢亰亳亶伉倅倩偐傚僭儕凉凛劑勍勣卞吭呟咬啻啼喇喨嘖嚆囃囓圉垓埣壞壅壤竒奕孃孩孰嵜幎廩弃弯彗悴慱憬懌懷懍抃掖撩擒擅擇撻擠攘攅效敲旁旒暝暾暸曩柬梳椁棘棗楔楴楝槁榠榜槨榱毓毬毫氈沛泛淬渟滂溟滾漓潦澤濟燉燎燵犒狡猜猝甎甕畆痃瘁癪皎眩睛睾瞎瞑碎磅磧磚禊禳秣稟禀稾穰簑簔簀籬粹繚繹纉纐纛罔羶肓腋膀膵芒茉茱萃菁蒂蒿蒡蔬薺蛟蜻螟蟀蟄衒袞袤裘裹襃襄褻諄謗謫譯讓豁貶贄齎躋迹逑逹醉醯釀釋鉉鍄鎬鐓鐐閙闥雍雜霈霽靜靺齏韲頏顫餃駭駮驛驤驪髞鬧魑鵁鶉鵺鷙鷯麸黐黥齧凜
人		ひと	person	葵以亥臥快劾咳該骸核関侠峡挟狭渓鶏欠決訣倹券剣圏検険験鹸庚坐咲傘讃賛似失囚勝榛翠潜閃爽卒替秩朕槻内肉納病夫扶芙丙柄俸奉捧棒頬撲从仄佚來俎倅倆僉僣儉决刔劍劔劒剱劵匳卷吶咎噬囃圈嗇垓埣墻夐夬夾姨孅峽嶮巫帙從徠怏悴愴憖懺抉挾揆撩攅斂昃暎檢檣歛殃殲泱泅洟浹渕淬滿滕瀲炳牆狹猝璞畉痍瘁眷瞼碎秧穡筴筮篋簽籐籘籤粹綣縱縢纉纖缺羮肭腴膵臉臾艢艱苡莢萃萸蓙薔蚋蜷衲袂覡訥誣諛譛讖豢賚趺跌蹐蹼軼輦輳醉銕鋏鎹鑚陋陜陝險雜靈靹鞅鞆駭驗鰆鰮鴃鵐鶺麩麸齒齡
儿		にんにょう	human legs	綾逸允胤院厩鋭悦閲塊魁界芥隔兜竃冠勘喚堪完換莞玩翫頑輝鬼橘究窮兇競境況鏡尭暁空窟窪兄見元虎光控晃腔克魂唆堺搾窄酸四児呪蒐醜充銃祝俊峻竣駿商焼深甚勢税窃説先洗穿銑窓続脱探湛窒兆挑眺跳銚纏兎菟党桃統逃涜禿読突熱廃売溌発醗挽晩匹菱彪勉娩貌睦幌魔魅免融窯耀陸亮凌稜陵价佻俛倪倥傀僥兀兒兌兔兢竸冏冕冤冦况剋吮啌喨囈圀奐姚寃寇尅尠崚嵬嶢巉巍帶廛忱恍悛悗愧憺戡擔撓撥攜斟晄晁曉朮梭椶椹槐橈檐殼泗洸浣淕渙滉滯澆濳澹烱煥燒牘犢猊獻琥瑰痲癈皃皖皴睨瞻碪磽禝稷穹穽窈窗窕窘窖竈窰窶竅竄窿邃竇竊筅箜簷糂鬻絖繞續纔罕羌翹胱膈膣膽芫莵蔆蒄蔕蕘薐藐藝號蛻蟯蟾裔褫覿誂謖譎譫讀讒讚貎贊贍贖跣躔輓逡逵遞遶邊鍖鐃鑁鑽鑚阮隗霓竟頏餽饒饕駟驍鬩鬲魄魃魏魍魎魑魘鯢鯱鷸麑黷堯
