㐆|B4 S6 Yyin3||||to follow, to trust to, to put confidence in, to depend on, to turn around, to turn the body
㐬|B8 S7 Yliu2||||a cup with pendants, a pennant, wild, barren, uncultivated
㐮|B8 S13||||to help, to assist, to achieve, to rise, to raise
㑨|B9 S10 Yyu3||||great, big, tall, vast, noble, high in rank, very, much
㑪|B9 S10 Ychai2||||a generation, a class, a series, a kind
㒒|B9 S15 Ypu2||||a slave, a servant, used conventionally for oneself, a charioteer
㒵|B12 S7 Ymao4|かお|||manner, appearance, form, face, bearing
㒼|B13 S11 Yman2||||average, equivalent, corresponding, to cover something carefully and tightly without a break
㓁|B14 S4 Ywang3||||a net, net-like, radical 122
㓛|B18 S5||||merit, achievement, meritorious, efficacy, good results
㕞|B29 S9||||a brush, to brush, to clean, to scrub, to print, expecially from blocks
㕣|B30 S5 Yyan3 yan4 yan4||||a marsh at the foot of the hills, name of a river
㕮|B30 S7 Yfu3 tiao4||||to chew, to masticate, to dwell on, Chinese medicine term
㖦|B30 S11 Ydong3||||loquacity
㖨|B30 S11 Ylu4||||Indistinct nasal utterance, laugh, sound of birds
㗅|B30 S12 Yhu2||||angry, the throat, what? how? why? which?
㗚|B30 S13 Yli4||||vexingly verbose or wordy, prosy, complicated, annoying
㗴|B30 S15 Yyan2||||dogs fighting, to go to law, an indictment
㘅|B30 S17 Yxian2||||to hold in the mouth
㙊|B32 S11 Ychang2 zhang4||||an area of level ground, an open space, a threshing floor, arena for drill_ etc., a place to pile a sand-hill
㚖|B37 S8 Ygao3||||to come out to the open, to be known by all, glossy, shining
㛏|B38 S10 You4 qiu2||||used in girl's name
㝡|B40 S11 Yzui4||||very, exceedingly, most, superior
㝢|B40 S12 Yyu3||||a house, a roof, look, appearance, space
㝫|B40 S14 Ylong2||||shape of the sky
㝵|B41 S8 Yde2||||to get, complacent, to obstruct, to hinder, to stop progress, to injure, to offend, to concern, hindrance, restraint
㟁|B46 S8||||shore, bank, beach, coast
㟢|B46 S11 Yqi2||||the rocks on the hills are of different shapes, rugged and weird, character different from others
㟨|B46 S12 Yquan2||||a fountain in the side of a hill, name of a mountain
㟴|B46 S13 Ykuai4 kui3 wei3||||lump on the hills, rugged, rough, rough, lofty, steep, the dejection one feels at heart
㟽|B46 S14 Ybiao3||||mountain top, summit, pointing mountain
㠀|B46 S14 N5343 Ydao3||||island, isle
㠶|B50 S6 Yfan2||||a sail, to sail
㡀|B50 S8 Ybi4||||ragged clothing, ragged, old and wear out
㡜|B50 S14 Yxue3||||ragged clothes, left over, remainder, the excess, the surplus, to cut out (of silk fabrics) as a design
㡡|B50 S15 N1487 Ychu2||||screen to make a temporary kitchen
㣺|B61 S5||||the heart, the moral nature, the mind, the affections, intention, the radical on left side of the character
㤚|B61 S10 Yhang2||||joy, delight, gratification
㥯|B61 S14 Yyin3||||careful, compassionate, to take an interest in, prudent, cautious, worried and grieved
㩮|B64 S21 Yqian2 xian2||||to lift up or off, to raise high, to unveil
㩳|B64 S22 Ysong3||||to hold, to grasp, to detain, to uphold, to push, to stand upright, expel, to shirk, to raise up
㫗|B72 S7 Yhou4||||thick, deep friendship, to treat kindly, generous
㫪|B72 S10||||to pound (grain) in order to remove the husk
㬎|B72 S14 Yxian3||||motes in a sunbeam, bright, fibrous, to manifest, to display, to be illustrious, evident, to seem, to appear, cocoons, chrysalis, will not have a pleasant conversation
㬚|B72 S16 Yche4||||light, bright, clear
㬜|B72 S16 Yjin4||||to advance, to increase, to flourish
㬢|B72 S17||||sunshine, sunlight, the light of day
㭭|B75 S11 Yfei4||||a kind of tree, a harrow, a drag, a written contract or agreement, a bond, a deed, handles of spears or lances used in ancient times
㮇|B75 S12 Ytian4||||a builder's frame for measuring, juniper, a poker (for stirring fire), a cylinder part on the old style of wooden doors
㮈|B75 S12 Ynai4||||but, how, what, a remedy, a resource, to bear, to endure
